queue_ns,network_ns,total_ns
128,101904,102032
186,97285,97471
118,97550,97668
118,98179,98297
118,94886,95004
118,97786,97904
108,95398,95506
108,101147,101255
138,95771,95909
128,98081,98209
118,98139,98257
118,98115,98233
186,95202,95388
177,97088,97265
118,96675,96793
118,98130,98248
108,95437,95545
118,97914,98032
118,93835,93953
118,98591,98709
117,95408,95525
108,95230,95338
118,98170,98288
118,95083,95201
128,95378,95506
108,95192,95300
128,98258,98386
196,90533,90729
187,96970,97157
167,92813,92980
167,98347,98514
128,98680,98808
118,95221,95339
118,97972,98090
118,94219,94337
138,98159,98297
108,98494,98602
202,98582,98784
127,129678,129805
207,112370,112577
157,97314,97471
172,108449,108621
177,99939,100116
167,95624,95791
118,96528,96646
196,97324,97520
157,93069,93226
176,104863,105039
146,93570,93716
118,94346,94464
167,98936,99103
118,98926,99044
118,98523,98641
128,97029,97157
177,95398,95575
128,95545,95673
128,98945,99073
118,94995,95113
108,96882,96990
118,94699,94817
117,97570,97687
108,95290,95398
128,95290,95418
117,94848,94965
118,97530,97648
127,97275,97402
128,94896,95024
128,97225,97353
128,92204,92332
186,105187,105373
118,97795,97913
176,93079,93255
177,97186,97363
119,96213,96332
119,97127,97246
109,97186,97295
118,94857,94975
109,96950,97059
138,96253,96391
187,114433,114620
148,71732,71880
187,93569,93756
236,116448,116684
187,97137,97324
207,98287,98494
118,94081,94199
119,111358,111477
216,97304,97520
187,97019,97206
167,93236,93403
186,99368,99554
187,97657,97844
207,97736,97943
128,92233,92361
108,92272,92380
109,92399,92508
118,98208,98326
119,98699,98818
187,97588,97775
108,96813,96921
118,94768,94886
148,94208,94356
108,95260,95368
119,96881,97000
187,97824,98011
177,93550,93727
118,96636,96754
128,93118,93246
109,97225,97334
118,98907,99025
128,89117,89245
109,113313,113422
187,109726,109913
178,89490,89668
119,99820,99939
374,106522,106896
177,94445,94622
128,95486,95614
128,97255,97383
118,96892,97010
108,104263,104371
197,97805,98002
177,114719,114896
177,92283,92460
118,97304,97422
128,97147,97275
127,93315,93442
118,98002,98120
109,94886,94995
118,97088,97206
118,93707,93825
108,94798,94906
128,97000,97128
118,93973,94091
206,97668,97874
118,97481,97599
128,94867,94995
118,97540,97658
117,97452,97569
128,95083,95211
167,97058,97225
118,97177,97295
127,97835,97962
118,94514,94632
118,98090,98208
118,93865,93983
118,94169,94287
117,98465,98582
118,98868,98986
186,97639,97825
128,95535,95663
118,98464,98582
138,99938,100076
118,104567,104685
540,136672,137212
227,118143,118370
